DATE,Analysed,Reference,vals,HOM
2020-02-18,3523154.509152297,755883.1249641627,2767271.384188134,3523154.509152297
2020-02-19,54837.58287108317,685585.4882939011,-630747.9054228179,54837.58287108317
2020-02-20,995289.9892619886,1031512.9735571649,-36222.98429517634,995289.9892619886
2020-02-21,-1325891.4770013057,1221859.821710661,-2547751.2987119667,-1325891.4770013057
2020-02-22,1409640.5518263616,-127731.55390273035,1537372.105729092,1409640.5518263616
2020-02-23,193229.10521376505,8492.770339146256,184736.3348746188,193229.10521376505
2020-02-24,-133608.46331679448,1018156.5659478754,-1151765.0292646699,-133608.46331679448
2020-02-25,-339299.89463245496,141286.3024696568,-480586.19710211176,-339299.89463245496
2020-02-26,-1344630.53730404,861277.877790466,-2205908.415094506,-1344630.53730404
2020-02-27,-1675417.111540433,-1055838.7117407173,-619578.3997997157,-1675417.111540433
2020-02-28,-1428707.6089891158,-876932.0658329576,-551775.5431561582,-1428707.6089891158
2020-02-29,-308015.0168060027,-343059.6656451076,35044.64883910492,-308015.0168060027
2020-03-01,-1036167.1145502292,-215634.70200239122,-820532.412547838,-1036167.1145502292
2020-03-02,2659378.575217847,1814854.000461921,844524.5747559257,2659378.575217847
2020-03-03,-1028026.0253425799,463210.4038020354,-1491236.4291446153,-1028026.0253425799
2020-03-04,1710054.0985530652,977732.3479170948,732321.7506359704,1710054.0985530652
2020-03-05,-664266.1134215556,881374.3258436285,-1545640.439265184,-664266.1134215556
2020-03-06,2227188.473524932,932072.9310599416,1295115.5424649902,2227188.473524932
2020-03-07,-35079.638693448156,392050.58444811404,-427130.2231415622,-35079.638693448156
2020-03-08,20693.7961996831,421946.8507512957,-401253.0545516126,20693.7961996831
2020-03-09,1423080.621751193,372631.76352740824,1050448.8582237847,1423080.621751193
2020-03-10,2958312.0173779763,553283.6388666779,2405028.3785112984,2958312.0173779763
2020-03-11,875119.6729434766,1214010.8055647817,-338891.13262130506,875119.6729434766
2020-03-12,2340032.409132842,397465.5078981798,1942566.9012346622,2340032.409132842
2020-03-13,2008576.4715882577,1744015.3978072554,264561.0737810023,2008576.4715882577
2020-03-14,-1368773.6596659385,32559.70496802032,-1401333.3646339588,-1368773.6596659385
2020-03-15,2287093.5392741,1453804.5814718157,833288.9578022845,2287093.5392741
2020-03-16,553158.5300880708,675271.7229445428,-122113.19285647199,553158.5300880708
2020-03-17,870956.978377942,830614.8107390553,40342.16763888672,870956.978377942
2020-03-18,3028237.3743876256,2113832.5557160527,914404.818671573,3028237.3743876256
2020-03-19,1794586.9600590505,1371773.9996390492,422812.9604200013,1794586.9600590505
2020-03-20,1892710.9957896508,929478.6079954654,963232.3877941854,1892710.9957896508
2020-03-21,1870297.930593852,1373439.428826049,496858.501767803,1870297.930593852
2020-03-22,1419081.3123580255,1726942.333632484,-307861.0212744586,1419081.3123580255
2020-03-23,3101682.3555232324,73634.4117372781,3028047.9437859543,3101682.3555232324
2020-03-24,2286265.3038433827,345694.1998141557,1940571.104029227,2286265.3038433827
2020-03-25,-242407.6950393878,157175.48029729724,-399583.17533668503,-242407.6950393878
2020-03-26,-847314.421938058,632045.2000649124,-1479359.6220029704,-847314.421938058
2020-03-27,-365905.9152551852,-108284.25405578315,-257621.66119940206,-365905.9152551852
2020-03-28,-923732.166045066,429786.21116910875,-1353518.3772141747,-923732.166045066
2020-03-29,1217989.4450744428,779705.5649975687,438283.88007687405,1217989.4450744428
2020-03-30,-2091055.9379309379,-938116.8274599649,-1152939.110470973,-2091055.9379309379
2020-03-31,-471703.5412672721,-200103.4342855066,-271600.1069817655,-471703.5412672721
2020-04-01,2055354.3581725396,909296.4016641602,1146057.9565083794,2055354.3581725396
2020-04-02,-2002056.7441719733,-711608.511175923,-1290448.2329960503,-2002056.7441719733
2020-04-03,470386.0302025117,1079445.251386419,-609059.2211839072,470386.0302025117
2020-04-04,-2391224.50783455,-1110341.7608454674,-1280882.7469890825,-2391224.50783455
2020-04-05,1015293.3382619657,-582442.533083424,1597735.8713453896,1015293.3382619657
2020-04-06,-837423.4107488357,-653519.203181887,-183904.2075669486,-837423.4107488357
2020-04-07,-179712.08626258,-330934.158314541,151222.07205196097,-179712.08626258
2020-04-08,1543176.569621686,-1089788.4684926122,2632965.038114298,1543176.569621686
2020-04-09,-1449843.630342599,-574957.2008224577,-874886.4295201413,-1449843.630342599
2020-04-10,-1069176.5430499278,-1312415.2850993723,243238.74204944447,-1069176.5430499278
2020-04-11,1463551.190625552,-551681.8298565913,2015233.0204821434,1463551.190625552
2020-04-12,-2559872.908069011,-890628.8017185777,-1669244.106350433,-2559872.908069011
2020-04-13,1390438.866976384,617392.3536396325,773046.5133367516,1390438.866976384
2020-04-14,-3795829.025684949,-1307188.1177583244,-2488640.9079266246,-3795829.025684949
2020-04-15,-3654625.7906979285,-490746.0892290459,-3163879.7014688826,-3654625.7906979285
2020-04-16,-826422.9982818328,-355484.9318241924,-470938.0664576404,-826422.9982818328
